hotel,price,city,gps,average review
hotel techriret فندق تيشريرث,9900,Batna,"[35.673567, 5.654875]",3.8
فندق محطة خدمات أولاد سي سليمان,9900,Batna,"[35.619495, 5.6358572]",4.3
Hôtel El Hayat,9900,Batna,"[35.5540393, 6.1757195]",4.2
Hotel chaabani,9900,Batna,"[35.136557, 6.3074837]",1
Hôtel Messaoudi,12420,Batna,"[35.5346408, 6.1476273]",4.4
فندق براهيمي,4590,Batna,"[35.5543101, 6.1474458]",4.1
Hotel CH Chaker,10125,Batna,"[35.5538106, 6.1777472]",3.8
Chelia Batna Hotel,7020,Batna,"[35.5580517, 6.1742792]",3.1
TIMGAD HÔTEL HAZEM,6345,Batna,"[35.5566648, 6.179055]",3.9
Hôtel Guettafi,6345,Batna,"[35.5467135, 6.1797358]",3.7
Hotel elmadera,5670,Batna,"[35.521882, 6.2112293]",4.2
Hôtel Kourtel,9900,Batna,"[35.5388048, 6.1356769]",4.1
فندق سليم,9900,Batna,"[35.5347737, 6.1487147]",3.5
hôtel résidence el mahdi,9900,Batna,"[35.5562004, 6.1741627]",4.5
HOTEL MESSAOUI BARIKA,9900,Batna,"[35.3870609, 5.3713901]",3.8
Timgad Trajan Hotel,6885,Batna,"[35.4896955, 6.4683489]",4.5
MOFATIS Hotel,9900,Batna,"[35.6308037, 6.2674526]",4.3
hotel mont chélia فندق الهواء النقي شليا,9900,Batna,"[35.2967128, 6.6028033]",4
مرقد لمهنوي hotel mhnawi,9900,Batna,"[35.3864128, 5.3515723]",4.3
HOTEL MIZOU,9900,Batna,"[35.3680159, 5.3623012]",4.3
Hotel Transatlantique - Ghoufi,9900,Batna,"[35.0505067, 6.1698837]",4.4
HOTEL AMINE نزل أمين,9900,Batna,"[35.3772509, 5.8932749]",4
Gold Hotel,9900,Batna,"[35.3836216, 5.9048195]",3.4
Atlantis Hôtel Bejaia,12690,Bejaia,"[36.7219809, 5.0627865]",4.1
Hôtel Golden  Bejaia,5940,Bejaia,"[36.7408814, 5.0593254]",4.4
Hôtel du Lac,7155,Bejaia,"[36.7511214, 5.0525521]",4.4
Saldae Hotel,15255,Bejaia,"[36.7550862, 5.0886595]",4
Hôtel Brahmi,6615,Bejaia,"[36.7528102, 5.0727501]",4.1
Hôtel Cristal,7020,Bejaia,"[36.7557148, 5.0566805]",3.8
Hôtel de l'Étoile,8505,Bejaia,"[36.7524515, 5.085308]",4.8
Hôtel La Bravoure,5670,Bejaia,"[36.7543005, 5.0794202]",4.2
Hôtel Royal,9900,Bejaia,"[36.7449222, 5.041348]",3.5
Hôtel Le Zéphyr,9900,Bejaia,"[36.7465102, 5.050861]",3.7
Hotel Chrea,9900,Bejaia,"[36.7487188, 5.0539336]",3.7
Hôtel du Nord,9900,Bejaia,"[36.7550895, 5.0804112]",4.1
Hôtel Le Sarrasin,9900,Bejaia,"[36.7377804, 5.0652086]",3.7
Hôtel Le Palace,9900,Bejaia,"[36.755859, 5.057696]",3.7
Hôtel Madala,9900,Bejaia,"[36.7507257, 5.0485534]",3.5
Hôtel Providentia,9900,Bejaia,"[36.7527174, 5.0457794]",3.8
